"s","o"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/forbids","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/permission","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/veneration","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/hierarchy","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/forbade","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/honoring","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/proper","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/venerated","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/stature","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/acquiesce","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/adherence","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/deferential","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/leadership","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/punish","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/forbidding","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/revered","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/filial_piety","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/patriarchs","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/decree","https://w3id.org/spice/SON/HaidtValues#Authority"
"https://w3id.org/framester/conceptnet/5.7.0/c/en/coerce","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dominions","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dominions","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/dictating","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/dictating","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/venerating","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/venerating","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/venerates","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/venerates","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://dbpedia.org/resource/Institution","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/institution","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/institution","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://umbel.org/umbel/sc/Institution","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://wikidata.dbpedia.org/resource/Q178706","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/monarchical","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://en.wiktionary.org/wiki/servant","https://w3id.org/spice/SON/HaidtValues#Authority"
"http://fr.wiktionary.org/wiki/servant","https://w3id.org/spice/SON/HaidtValues#Authority"
