"s","o"
"https://w3id.org/framester/vn/vn31/data/Urinate_40010200","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/vn/vn31/data/Urinate_40010320","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/vn/vn31/data/Expectorate_40010200","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/vn/vn31/data/Expectorate_40010310","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/vn/vn31/data/Spit_40010210","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/vn/vn31/data/Suction_10040100","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_perspiration_105405751","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_emetic_103283519","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_bubble_109229709","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_crap_114854581","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_defecator_110000007","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_fecal_matter_114854262","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_perspirer_110418735","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_pisser_110435716","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_spitter_110636874","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_toilet_104446521","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_urine_114855724","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_vomit_114855992","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"http://yago-knowledge.org/resource/wordnet_vomiter_110759702","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
"https://w3id.org/framester/wn/wn30/instances/synset-excrete-verb-1","http://www.ontologydesignpatterns.org/ont/emotions/BasicEmotions.owl#Disgust"
