"s","o"
"http://yago-knowledge.org/resource/wordnet_cakewalk_100036580","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_attainment_100062806","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_smooth_101263924","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_arrival_100048225","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_close_call_100061014","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_credit_100037200","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_fait_accompli_100047941","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_feat_100036762","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_masterstroke_100037090","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_recruitment_101263711","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_parole_101257701","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_sleeper_100064370","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_solo_homer_100132497","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_triple_100132982","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_passing_100065575","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_conquest_100065216","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_overachievement_100047356","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_strike_100187710","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_flip-flop_100439749","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_open_frame_100188007","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_own_goal_100187499","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_solution_100190783","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_cuckoldry_100160922","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_record_100063014","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_basket_100190431","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_clearing_101247647","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_line-drive_double_100131991","https://w3id.org/spice/SON/SchwartzValues#Achievement"
"http://yago-knowledge.org/resource/wordnet_rehabilitation_101241997","https://w3id.org/spice/SON/SchwartzValues#Achievement"
